,lyrics
like,6292
love,5233
yeah,4590
get,4559
cause,3848
know,3780
oh,3479
got,3378
let,2778
go,2705
baby,2664
one,2609
back,2344
say,2339
see,2116
time,2100
make,2017
never,2012
come,1969
want,1926
take,1756
man,1727
way,1726
feel,1717
right,1666
girl,1573
think,1565
shit,1557
wanna,1534
fuck,1500
night,1417
need,1372
ooh,1361
give,1320
life,1319
better,1250
jump,1250
day,1193
still,1192
said,1190
going,1182
little,1172
em,1106
gonna,1089
tell,1059
world,1034
stop,1034
good,1026
boy,1013
mine,1007
bitch,991
us,988
fuckin,976
ya,976
keep,959
phresh,957
could,928
put,922
even,903
away,900
look,894
really,894
every,891
ever,890
bad,887
would,881
ah,858
heart,845
always,842
much,824
nobody,730
around,728
til,724
beat,707
na,702
tonight,695
hold,685
well,681
head,677
long,676
cake,668
name,658
together,652
everybody,652
thought,635
people,628
leave,626
sky,623
told,618
eyes,616
turn,614
two,608
try,604
home,603
call,601
work,600
hear,598
bright,594
la,593
something,593
die,590
numb,580
mind,580
mama,575
place,574
guess,570
please,567
face,565
money,563
enough,552
nothing,552
find,538
shine,536
maybe,535
things,529
run,522
alone,522
show,521
high,514
hate,510
thing,508
care,505
hit,503
hey,501
diamond,501
runway,500
stay,492
gone,483
without,480
old,473
feeling,472
gotta,470
woo,470
ass,467
may,467
left,466
though,463
walk,457
wait,457
sing,446
talk,443
music,441
wrong,440
ha,440
forever,440
made,440
play,430
moment,429
new,429
inside,429
hard,420
someone,420
crazy,418
cold,418
break,416
song,416
eat,409
another,408
first,404
must,404
uh,403
done,403
change,403
words,399
came,396
last,394
fall,394
lost,394
mean,393
nothin,391
hand,387
diamonds,385
fire,385
beautiful,384
end,383
goin,380
everything,379
yo,376
cry,373
loving,370
floor,369
fight,365
getting,361
knows,361
might,359
help,353
throw,353
ride,350
dead,348
anything,347
white,347
side,346
god,345
rap,344
kiss,342
took,341
hurt,340
im,339
dance,339
live,339
tryna,339
door,337
remember,337
hope,336
young,335
used,334
best,330
close,328
blow,327
big,327
shady,327
far,327
watch,326
believe,326
somebody,326
many,326
half,325
light,325
comes,323
yes,320
business,320
lie,320
goodbye,318
game,318
da,317
bout,316
number,315
friends,314
lonely,311
okay,310
feels,309
start,306
whole,305
looking,305
hell,303
saw,302
next,301
stand,297
sun,296
body,294
since,293
rock,293
dont,292
fucking,289
matter,289
huh,287
knew,285
alright,284
found,284
house,284
ask,283
wants,282
fly,282
roll,280
learn,279
mom,276
lady,276
dick,275
true,274
almost,273
days,273
morning,272
hoo,272
rain,270
gon,268
brain,267
black,265
pain,265
went,264
today,263
hee,263
full,262
kind,260
eye,259
babe,257
lose,256
kick,256
everyone,255
goes,255
woah,254
pull,253
late,251
soul,249
real,248
gave,248
damn,247
ball,246
sure,245
bed,243
kill,243
town,241
gets,240
word,238
happy,238
dream,237
tryin,236
road,236
makes,236
waiting,235
ho,234
sa,234
gettin,233
evil,233
legacy,232
low,232
else,231
ko,230
ssa,230
dre,229
hide,228
blue,228
eh,227
loves,226
whatever,225
soon,224
years,222
bet,222
scream,222
chance,221
touch,220
mother,220
friend,220
round,220
drop,219
mad,218
e,218
fun,218
hands,216
probably,214
forget,214
tomorrow,213
sick,213
blood,213
thriller,212
wish,212
mo,211
hair,211
cinderella,210
alive,210
open,209
bitches,209
wonder,208
tried,208
seen,208
cut,208
smile,207
line,207
sit,206
party,206
talkin,206
heard,205
top,205
dad,205
drive,205
hello,203
grow,202
affection,201
sound,201
wanted,201
set,200
lookin,200
lay,199
follow,199
fell,198
spit,196
guy,196
says,196
stuck,195
thinking,194
kid,194
behind,193
coming,193
c,193
slim,193
dark,192
use,192
along,191
kids,191
lot,191
yesterday,189
girls,188
dreams,188
car,187
felt,186
nowhere,184
dirt,183
met,182
straight,181
sorry,180
air,180
save,180
three,179
room,179
living,178
free,178
bum,178
broke,177
eminem,177
easy,176
sweet,175
hot,175
nice,174
swear,174
bit,174
times,173
school,173
starting,173
tired,172
lover,172
meant,172
listen,170
past,170
sayin,169
momma,169
fool,169
paradise,168
mouth,168
smoke,168
sleep,168
reason,168
lights,167
rather,166
skin,166
clouds,165
shot,165
takes,165
saying,164
darling,164
knock,164
star,163
bring,162
pour,161
shake,161
wind,160
meet,160
called,160
quit,160
rhyme,160
sometimes,159
move,159
children,159
deep,159
nah,159
king,158
fast,158
l,157
act,157
son,157
cash,156
murder,155
minute,155
truth,155
understand,154
father,154
yellow,154
twice,154
monster,153
standing,153
pretty,153
taking,152
bye,151
shoes,151
slow,150
trying,150
marshall,150
dear,150
mr,148
boys,148
stick,147
drunk,147
part,147
comin,147
daddy,147
shoot,146
till,146
ready,145
sight,145
front,145
trash,145
clear,144
christmas,144
g,143
tears,143
case,142
send,142
promise,141
water,141
pen,141
afraid,141
gun,141
dirty,141
aint,141
mirror,141
buy,140
grab,140
great,139
lovely,139
thang,138
street,138
warm,138
heaven,137
homie,137
four,137
seems,137
club,136
share,136
fine,136
youre,136
rhythm,136
cant,135
everywhere,135
window,135
miss,135
scared,135
float,135
ground,134
escape,134
dangerous,134
whoa,134
force,134
started,133
hop,133
rest,133
thinkin,132
year,132
crying,132
wall,131
yet,131
suck,131
loved,130
stupid,130
bill,130
wake,129
step,129
devil,129
sad,129
motherfuckin,128
looks,127
darkness,127
making,127
phone,127
nigga,126
feet,126
second,126
middle,126
fill,126
thrill,125
pick,125
somethin,125
near,125
already,125
ways,124
yah,124
wrote,124
feelin,124
songs,123
caught,123
supposed,123
talking,122
mic,122
knife,122
outta,122
read,122
eight,121
fucked,121
peace,121
mon,120
glad,120
six,120
strong,119
band,119
dog,119
five,119
moon,119
prepared,118
voice,118
bomb,118
cool,118
insane,118
control,118
arms,117
apart,117
admit,117
answer,117
fact,117
thank,117
rise,116
laugh,116
ill,115
fault,115
keeps,115
tight,115
fame,114
write,114
turned,114
asshole,112
drink,112
corner,112
lips,112
n,111
shout,111
push,111
fields,111
hip,111
spend,111
finally,110
begin,110
verse,110
bang,109
hearts,109
bottom,109
honey,109
woman,109
win,109
games,109
needs,108
worse,108
land,107
happened,107
nuts,107
mathers,106
news,106
falling,106
hopeless,106
fore,106
leaving,106
anybody,106
lucy,106
across,106
fallin,105
earth,105
count,105
sea,105
treat,105
least,105
blame,104
million,104
hi,104
hole,104
seem,103
box,103
somewhere,103
p,103
remind,102
killed,102
couple,102
gold,102
anyone,102
k,102
catch,102
different,102
doin,101
takin,101
motherfucker,101
chka,100
looked,100
submarine,100
superman,100
broken,100
excuse,100
rhymes,100
thunderin,99
red,99
goddamn,99
lies,99
scene,99
makin,98
women,98
longer,98
ten,97
bag,97
flow,97
means,97
birthday,97
chick,96
cum,96
ohh,96
annie,96
laughing,96
pum,96
voices,96
blind,95
playin,95
happens,95
glass,95
strawberry,95
bein,95
niggas,95
startin,94
power,94
dig,94
hollywood,94
vegetable,94
figure,94
wife,93
haha,93
slut,93
scratch,93
thunder,93
speak,93
shut,93
trust,93
tree,92
ran,92
ohhh,92
carry,91
belong,91
child,91
blew,91
key,91
changed,90
willing,90
thoughts,90
check,90
lead,90
letter,90
michael,90
frank,90
zombie,90
ahh,89
screamin,89
aw,89
rolling,89
nine,89
track,89
pepper,89
mi,89
cannot,89
raise,89
crack,89
holy,88
sexy,88
sgt,88
summer,88
person,88
police,88
proof,88
bells,88
city,87
diana,87
played,87
gas,87
ahead,87
